Date,Open,High,Low,Close,Volume,Adj Close
2005-01-20,103.50,103.77,102.88,103.40,3252100,100.38
2005-01-19,104.33,104.72,103.81,104.06,3550400,101.02
2005-01-18,103.60,105.18,103.56,105.00,3224800,101.93
2005-01-14,103.10,104.35,102.94,104.22,2794400,101.18
2005-01-13,102.80,103.96,102.78,102.94,3256300,99.93
2005-01-12,104.10,104.26,102.41,103.27,3975800,100.25
2005-01-11,104.05,104.68,103.40,104.17,3132600,101.13
2005-01-10,104.28,105.43,104.27,104.98,2686200,101.91
2005-01-07,105.23,105.46,104.40,104.78,3075000,101.72
2005-01-06,103.96,105.25,103.91,105.23,3590100,102.16
2005-01-05,103.75,104.98,103.58,103.80,3649300,100.77
2005-01-04,104.80,105.20,103.91,104.27,5154200,101.23
2005-01-03,104.90,105.25,104.34,104.95,4225300,101.89
2004-12-31,104.92,105.00,104.04,104.04,1487400,101.00
2004-12-30,104.90,105.59,104.78,104.92,1629000,101.86
2004-12-29,104.90,105.16,104.33,104.65,1588100,101.59
2004-12-28,104.20,105.21,104.20,105.15,1806500,102.08
2004-12-27,104.95,105.04,103.80,104.20,1716700,101.16
2004-12-23,104.65,105.41,104.35,104.35,2011800,101.30
2004-12-22,104.45,105.50,104.23,104.40,3505200,101.35
2004-12-21,104.00,105.19,103.68,105.01,5247400,101.94
2004-12-20,103.76,105.03,103.07,103.79,4836200,100.76
2004-12-17,104.00,105.59,103.00,103.75,7853300,100.72
2004-12-16,106.20,107.00,104.70,105.40,8113500,102.32
2004-12-15,109.65,110.41,108.66,109.25,4820700,106.06
2004-12-14,110.45,110.45,109.65,109.88,4179100,106.67
2004-12-13,109.95,110.88,109.44,110.45,4202500,107.23
2004-12-10,108.50,109.93,107.24,109.40,3898700,106.21
2004-12-09,106.69,107.82,106.19,107.49,2581600,104.35
2004-12-08,106.53,107.68,105.99,106.68,3038900,103.57
2004-12-07,107.72,107.79,106.09,106.09,2280000,102.99
2004-12-06,107.05,107.73,106.35,107.17,2334600,104.04
2004-12-03,106.60,107.08,105.51,106.47,2728700,103.36
2004-12-02,106.02,107.46,105.87,106.60,3503400,103.49
2004-12-01,105.25,106.15,104.96,106.00,3123200,102.90
2004-11-30,104.55,105.31,104.54,104.76,2966500,101.70
2004-11-29,105.43,105.59,104.51,105.08,2881900,102.01
2004-11-26,104.95,105.40,104.83,104.84,796200,101.78
2004-11-24,104.10,105.22,104.10,105.00,2427600,101.93
2004-11-23,103.75,104.07,103.08,103.81,2628300,100.78
2004-11-22,102.75,103.90,102.14,103.42,2344000,100.40
2004-11-19,104.77,104.77,101.91,103.04,3579400,100.03
2004-11-18,104.90,104.98,104.12,104.83,2086700,101.77
2004-11-17,104.05,105.40,103.94,104.71,3666000,101.65
2004-11-16,104.63,104.63,103.42,103.72,3694200,100.69
2004-11-15,104.85,105.10,103.65,104.62,3208200,101.57
2004-11-12,103.45,104.90,103.27,104.66,4435100,101.60
2004-11-11,101.25,103.30,101.21,103.00,3966100,99.99
2004-11-10,100.91,101.33,100.38,100.75,2612000,97.81
2004-11-09,100.22,101.28,99.89,100.87,2826500,97.92
2004-11-08,100.40,100.80,99.78,100.21,2819200,97.28
2004-11-05,100.50,101.74,99.35,100.85,5101400,97.91
2004-11-04,99.37,100.55,98.45,100.00,4381500,97.08
2004-11-03,100.01,100.50,98.68,99.37,4333900,96.47
2004-11-02,98.85,99.73,98.50,98.55,4270100,95.67
2004-11-01,98.20,98.91,97.80,98.32,2519900,95.45
2004-10-29,97.43,98.45,97.43,98.38,3862600,95.51
2004-10-28,96.10,98.14,95.80,97.43,5321900,94.59
